2026-07-06 09:45:05,419	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:45:05,420	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:45:08,289	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:45:09,145 E 37725 7368773] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '8b0497f13ce866c030c4e79201000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
2026-07-06 09:45:11,739	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
[36m(SingleAgentEnvRunner pid=37758)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:45:11,787	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 1, 'env_steps': 32784, 'episode_return_mean': None, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.8182222843170166), 'wall_s': 2.8}
{'iter': 2, 'env_steps': 65568, 'episode_return_mean': None, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.7949204444885254), 'wall_s': 4.9}
{'iter': 3, 'env_steps': 98352, 'episode_return_mean': np.float64(53.74256017939324), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.7768468856811523), 'wall_s': 7.4}
{'iter': 4, 'env_steps': 131136, 'episode_return_mean': np.float64(53.177962181502004), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.755321979522705), 'wall_s': 10.2}
{'iter': 5, 'env_steps': 163920, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.732825994491577), 'wall_s': 12.7}
{'iter': 6, 'env_steps': 196704, 'episode_return_mean': np.float64(91.93414113152986), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.712230682373047), 'wall_s': 15.4}
{'iter': 7, 'env_steps': 229488, 'episode_return_mean': np.float64(94.90915191249633), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.686616897583008), 'wall_s': 17.7}
{'iter': 8, 'env_steps': 262272, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.66345477104187), 'wall_s': 20.1}
{'iter': 9, 'env_steps': 295056, 'episode_return_mean': np.float64(135.3636163150178), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.6403555870056152), 'wall_s': 22.6}
{'iter': 10, 'env_steps': 327840, 'episode_return_mean': np.float64(136.77788545230771), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.6167328357696533), 'wall_s': 24.8}
{'iter': 11, 'env_steps': 360624, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.5906360149383545), 'wall_s': 27.0}
{'iter': 12, 'env_steps': 393408, 'episode_return_mean': np.float64(181.64513662172664), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.563539505004883), 'wall_s': 29.5}
{'iter': 13, 'env_steps': 426192, 'episode_return_mean': np.float64(182.2121371738129), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.5411007404327393), 'wall_s': 31.9}
{'iter': 14, 'env_steps': 458976, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.506624221801758), 'wall_s': 34.3}
{'iter': 15, 'env_steps': 491760, 'episode_return_mean': np.float64(221.3628776605521), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.4753568172454834), 'wall_s': 36.4}
{'iter': 16, 'env_steps': 524544, 'episode_return_mean': np.float64(223.3478453527338), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.45230770111084), 'wall_s': 38.7}
{'iter': 17, 'env_steps': 557328, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.4218578338623047), 'wall_s': 41.2}
{'iter': 18, 'env_steps': 590112, 'episode_return_mean': np.float64(252.9204799788671), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.390808582305908), 'wall_s': 43.7}
{'iter': 19, 'env_steps': 622896, 'episode_return_mean': np.float64(254.95369451831425), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.363767147064209), 'wall_s': 46.4}
{'iter': 20, 'env_steps': 655680, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.3362183570861816), 'wall_s': 49.0}
{'iter': 21, 'env_steps': 688464, 'episode_return_mean': np.float64(278.05813423814124), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.305469036102295), 'wall_s': 51.8}
{'iter': 22, 'env_steps': 721248, 'episode_return_mean': np.float64(281.1492061951856), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.2754595279693604), 'wall_s': 54.6}
{'iter': 23, 'env_steps': 754032, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.2484374046325684), 'wall_s': 57.3}
{'iter': 24, 'env_steps': 786816, 'episode_return_mean': np.float64(308.53432170641065), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.2197606563568115), 'wall_s': 59.9}
{'iter': 25, 'env_steps': 819600, 'episode_return_mean': np.float64(307.47326617226685), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.19290828704834), 'wall_s': 62.4}
{'iter': 26, 'env_steps': 852384, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.1662421226501465), 'wall_s': 64.7}
{'iter': 27, 'env_steps': 885168, 'episode_return_mean': np.float64(329.13212251799), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.1426749229431152), 'wall_s': 67.1}
{'iter': 28, 'env_steps': 917952, 'episode_return_mean': np.float64(327.8451579795217), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.1244542598724365), 'wall_s': 69.1}
{'iter': 29, 'env_steps': 950736, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.1030170917510986), 'wall_s': 71.2}
{'iter': 30, 'env_steps': 983520, 'episode_return_mean': np.float64(340.9871146237008), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.081346273422241), 'wall_s': 73.6}
{'iter': 31, 'env_steps': 1016304, 'episode_return_mean': np.float64(338.7349110773539), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(2.0672764778137207), 'wall_s': 76.1}
