2026-07-06 09:03:18,473	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 09:03:18,474	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 09:03:31,209	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 09:03:35,122 E 36538 7326988] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '223b2ce134c5d6b609adce8d01000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=36564)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,729	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 09:03:43,859	INFO trainable.py:154 -- Trainable.setup took 25.373 seconds. If your trainable is slow to initialize, consider setting reuse_actors=True to reduce actor creation overheads.
2026-07-06 09:03:43,859	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 1, 'env_steps': 32784, 'episode_return_mean': None, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.0413365364074707), 'wall_s': 107.3}
{'iter': 2, 'env_steps': 65568, 'episode_return_mean': None, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.0039501190185547), 'wall_s': 183.5}
{'iter': 3, 'env_steps': 98352, 'episode_return_mean': np.float64(361.02083333333337), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.9319146871566772), 'wall_s': 278.2}
{'iter': 4, 'env_steps': 131136, 'episode_return_mean': np.float64(355.6666666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.8371304273605347), 'wall_s': 369.2}
{'iter': 5, 'env_steps': 163920, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.7530344128608704), 'wall_s': 465.0}
{'iter': 6, 'env_steps': 196704, 'episode_return_mean': np.float64(499.27083333333337), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.6455987095832825), 'wall_s': 558.8}
{'iter': 7, 'env_steps': 229488, 'episode_return_mean': np.float64(501.6875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.5390589833259583), 'wall_s': 649.7}
{'iter': 8, 'env_steps': 262272, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.4635637104511261), 'wall_s': 748.4}
{'iter': 9, 'env_steps': 295056, 'episode_return_mean': np.float64(601.4583333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.40033403038978577), 'wall_s': 839.9}
{'iter': 10, 'env_steps': 327840, 'episode_return_mean': np.float64(604.7916666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.34140485525131226), 'wall_s': 933.2}
{'iter': 11, 'env_steps': 360624, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.26962950825691223), 'wall_s': 1019.3}
{'iter': 12, 'env_steps': 393408, 'episode_return_mean': np.float64(644.125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.22437407076358795), 'wall_s': 1123.3}
{'iter': 13, 'env_steps': 426192, 'episode_return_mean': np.float64(643.8125), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.18064214289188385), 'wall_s': 1211.9}
{'iter': 14, 'env_steps': 458976, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.14945906400680542), 'wall_s': 1313.9}
{'iter': 15, 'env_steps': 491760, 'episode_return_mean': np.float64(666.6875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.13098061084747314), 'wall_s': 1401.2}
{'iter': 16, 'env_steps': 524544, 'episode_return_mean': np.float64(666.2083333333333), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.10931792110204697), 'wall_s': 1503.7}
{'iter': 17, 'env_steps': 557328, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.08828534930944443), 'wall_s': 1595.6}
{'iter': 18, 'env_steps': 590112, 'episode_return_mean': np.float64(678.7916666666666), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.08083774894475937), 'wall_s': 1690.4}
{'iter': 19, 'env_steps': 622896, 'episode_return_mean': np.float64(677.1666666666667), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.06689412146806717), 'wall_s': 1782.2}
{'iter': 20, 'env_steps': 655680, 'episode_return_mean': nan, 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.055245429277420044), 'wall_s': 1887.4}
{'iter': 21, 'env_steps': 688464, 'episode_return_mean': np.float64(678.2291666666666), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.05002925172448158), 'wall_s': 1992.1}
{'iter': 22, 'env_steps': 721248, 'episode_return_mean': np.float64(679.5625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.045476555824279785), 'wall_s': 2085.2}
