2026-07-06 01:28:40,770	WARNING algorithm_config.py:2530 -- DeprecationWarning: `config.training(learner_config_dict=..)` has been deprecated. Use `config.learners(learner_config_dict=..)` instead. This will raise an error in the future!
2026-07-06 01:28:40,771	WARNING algorithm_config.py:5177 -- You are running PPO on the new API stack! This is the new default behavior for this algorithm. If you don't want to use the new API stack, set `config.api_stack(enable_rl_module_and_learner=False,enable_env_runner_and_connector_v2=False)`. For a detailed migration guide, see here: https://docs.ray.io/en/master/rllib/new-api-stack-migration-guide.html
2026-07-06 01:28:43,250	INFO worker.py:2024 -- Started a local Ray instance.
[2026-07-06 01:28:44,078 E 25610 6814650] core_worker.cc:2149: Actor with class name: 'SingleAgentEnvRunner' and ID: '387591bdea50ac7028746b9501000000' has constructor arguments in the object store and max_restarts > 0. If the arguments in the object store go out of scope or are lost, the actor restart will fail. See https://github.com/ray-project/ray/issues/53727 for more details.
[36m(SingleAgentEnvRunner pid=25675)[0m DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,045	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
2026-07-06 01:28:46,066	WARNING util.py:62 -- Install gputil for GPU system monitoring.
{'iter': 1, 'env_steps': 32768, 'episode_return_mean': np.float64(319.9375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.07039475440979), 'wall_s': 41.5}
{'iter': 2, 'env_steps': 65536, 'episode_return_mean': np.float64(374.0625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(1.0363101959228516), 'wall_s': 83.3}
{'iter': 3, 'env_steps': 98304, 'episode_return_mean': np.float64(430.4375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.9906417727470398), 'wall_s': 124.7}
{'iter': 4, 'env_steps': 131072, 'episode_return_mean': np.float64(495.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.9240128993988037), 'wall_s': 167.6}
{'iter': 5, 'env_steps': 163840, 'episode_return_mean': np.float64(566.1875), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.8326926827430725), 'wall_s': 210.2}
{'iter': 6, 'env_steps': 196608, 'episode_return_mean': np.float64(623.5), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.7522788643836975), 'wall_s': 252.6}
{'iter': 7, 'env_steps': 229376, 'episode_return_mean': np.float64(668.34375), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.6452421545982361), 'wall_s': 291.0}
{'iter': 8, 'env_steps': 262144, 'episode_return_mean': np.float64(718.15625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.5601211786270142), 'wall_s': 329.2}
{'iter': 9, 'env_steps': 294912, 'episode_return_mean': np.float64(747.5), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.4921046495437622), 'wall_s': 367.4}
{'iter': 10, 'env_steps': 327680, 'episode_return_mean': np.float64(772.625), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.4128913879394531), 'wall_s': 405.7}
{'iter': 11, 'env_steps': 360448, 'episode_return_mean': np.float64(785.75), 'aux_ce': None, 'aux_accuracy': None, 'entropy': np.float64(0.35515010356903076), 'wall_s': 443.9}
