2026-07-06 01:18:43,568	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
{'opt_step': 25, 'env_steps': 204800, 'ce': 0.8696082830429077, 'accuracy': 0.6842619776725769, 'wall_s': 11.6}
{'opt_step': 50, 'env_steps': 409600, 'ce': 0.859228253364563, 'accuracy': 0.6692326664924622, 'wall_s': 12.7}
{'opt_step': 75, 'env_steps': 614400, 'ce': 0.8475376963615417, 'accuracy': 0.67253178358078, 'wall_s': 24.0}
{'opt_step': 100, 'env_steps': 819200, 'ce': 0.7982237339019775, 'accuracy': 0.6897605061531067, 'wall_s': 25.1}
{'opt_step': 125, 'env_steps': 1024000, 'ce': 0.8105446100234985, 'accuracy': 0.6721652150154114, 'wall_s': 26.2}
{'opt_step': 150, 'env_steps': 1228800, 'ce': 0.8108968138694763, 'accuracy': 0.678519070148468, 'wall_s': 39.1}
{'opt_step': 175, 'env_steps': 1433600, 'ce': 0.8044504523277283, 'accuracy': 0.6827957034111023, 'wall_s': 40.3}
{'opt_step': 200, 'env_steps': 1638400, 'ce': 0.8077340126037598, 'accuracy': 0.6823069453239441, 'wall_s': 53.1}
{'opt_step': 225, 'env_steps': 1843200, 'ce': 0.8036404252052307, 'accuracy': 0.6776637434959412, 'wall_s': 54.3}
{'opt_step': 250, 'env_steps': 2048000, 'ce': 0.8008744120597839, 'accuracy': 0.688049852848053, 'wall_s': 55.5}
{'opt_step': 275, 'env_steps': 2252800, 'ce': 0.803460955619812, 'accuracy': 0.683162271976471, 'wall_s': 68.6}
{'opt_step': 300, 'env_steps': 2457600, 'ce': 0.8120903372764587, 'accuracy': 0.6779081225395203, 'wall_s': 69.8}
{'opt_step': 325, 'env_steps': 2662400, 'ce': 0.7916254997253418, 'accuracy': 0.6923264861106873, 'wall_s': 82.5}
{'opt_step': 350, 'env_steps': 2867200, 'ce': 0.7973877191543579, 'accuracy': 0.6857282519340515, 'wall_s': 83.7}
{'opt_step': 375, 'env_steps': 3072000, 'ce': 0.8073403239250183, 'accuracy': 0.6824291348457336, 'wall_s': 84.8}
{'opt_step': 400, 'env_steps': 3276800, 'ce': 0.8003553748130798, 'accuracy': 0.6860948204994202, 'wall_s': 98.1}
{'opt_step': 425, 'env_steps': 3481600, 'ce': 0.8181205987930298, 'accuracy': 0.6752199530601501, 'wall_s': 99.2}
{'opt_step': 450, 'env_steps': 3686400, 'ce': 0.7817116975784302, 'accuracy': 0.6999022364616394, 'wall_s': 112.0}
{'opt_step': 475, 'env_steps': 3891200, 'ce': 0.8140837550163269, 'accuracy': 0.6764418482780457, 'wall_s': 113.2}
{'opt_step': 500, 'env_steps': 4096000, 'ce': 0.7948237657546997, 'accuracy': 0.6903714537620544, 'wall_s': 114.3}
{'opt_step': 525, 'env_steps': 4300800, 'ce': 0.7985883951187134, 'accuracy': 0.6865835785865784, 'wall_s': 127.5}
{'opt_step': 550, 'env_steps': 4505600, 'ce': 0.8275372982025146, 'accuracy': 0.6680107712745667, 'wall_s': 128.7}
{'opt_step': 575, 'env_steps': 4710400, 'ce': 0.784318208694458, 'accuracy': 0.6946480870246887, 'wall_s': 129.8}
{'opt_step': 600, 'env_steps': 4915200, 'ce': 0.7948770523071289, 'accuracy': 0.6882942318916321, 'wall_s': 142.6}
{'opt_step': 625, 'env_steps': 5120000, 'ce': 0.7956551313400269, 'accuracy': 0.6884164214134216, 'wall_s': 143.7}
{'opt_step': 650, 'env_steps': 5324800, 'ce': 0.8013731241226196, 'accuracy': 0.6840175986289978, 'wall_s': 156.8}
{'opt_step': 675, 'env_steps': 5529600, 'ce': 0.8104681968688965, 'accuracy': 0.673631489276886, 'wall_s': 157.9}
{'opt_step': 700, 'env_steps': 5734400, 'ce': 0.8031399846076965, 'accuracy': 0.6860948204994202, 'wall_s': 159.1}
{'opt_step': 725, 'env_steps': 5939200, 'ce': 0.7987959384918213, 'accuracy': 0.6863391995429993, 'wall_s': 171.9}
{'opt_step': 750, 'env_steps': 6144000, 'ce': 0.7965351343154907, 'accuracy': 0.6840175986289978, 'wall_s': 173.1}
{'opt_step': 775, 'env_steps': 6348800, 'ce': 0.7968875169754028, 'accuracy': 0.6864613890647888, 'wall_s': 186.1}
{'opt_step': 800, 'env_steps': 6553600, 'ce': 0.7979461550712585, 'accuracy': 0.6882942318916321, 'wall_s': 187.3}
{'opt_step': 825, 'env_steps': 6758400, 'ce': 0.7833227515220642, 'accuracy': 0.6951368451118469, 'wall_s': 188.4}
{'opt_step': 850, 'env_steps': 6963200, 'ce': 0.7912001013755798, 'accuracy': 0.6923264861106873, 'wall_s': 201.8}
{'opt_step': 875, 'env_steps': 7168000, 'ce': 0.7827907204627991, 'accuracy': 0.6967253088951111, 'wall_s': 202.9}
{'opt_step': 900, 'env_steps': 7372800, 'ce': 0.7968233227729797, 'accuracy': 0.6873167157173157, 'wall_s': 217.1}
{'opt_step': 925, 'env_steps': 7577600, 'ce': 0.7820314168930054, 'accuracy': 0.6956256031990051, 'wall_s': 218.3}
{'opt_step': 950, 'env_steps': 7782400, 'ce': 0.7987606525421143, 'accuracy': 0.6859726309776306, 'wall_s': 219.6}
{'opt_step': 975, 'env_steps': 7987200, 'ce': 0.792591392993927, 'accuracy': 0.6909824013710022, 'wall_s': 234.2}
{'opt_step': 1000, 'env_steps': 8192000, 'ce': 0.8003529906272888, 'accuracy': 0.6836510300636292, 'wall_s': 236.0}
{'opt_step': 1025, 'env_steps': 8396800, 'ce': 0.7919649481773376, 'accuracy': 0.6907380223274231, 'wall_s': 250.4}
{'opt_step': 1050, 'env_steps': 8601600, 'ce': 0.7936978340148926, 'accuracy': 0.6895161271095276, 'wall_s': 252.1}
{'opt_step': 1075, 'env_steps': 8806400, 'ce': 0.7873290777206421, 'accuracy': 0.6924486756324768, 'wall_s': 253.3}
{'opt_step': 1100, 'env_steps': 9011200, 'ce': 0.7793870568275452, 'accuracy': 0.6999022364616394, 'wall_s': 267.3}
{'opt_step': 1125, 'env_steps': 9216000, 'ce': 0.7733915448188782, 'accuracy': 0.7001466155052185, 'wall_s': 268.5}
{'opt_step': 1150, 'env_steps': 9420800, 'ce': 0.790677547454834, 'accuracy': 0.6898826956748962, 'wall_s': 270.2}
{'opt_step': 1175, 'env_steps': 9625600, 'ce': 0.7987048625946045, 'accuracy': 0.689393937587738, 'wall_s': 284.1}
{'opt_step': 1200, 'env_steps': 9830400, 'ce': 0.7777721285820007, 'accuracy': 0.7002688050270081, 'wall_s': 286.4}
{'opt_step': 1225, 'env_steps': 10035200, 'ce': 0.794439971446991, 'accuracy': 0.6924486756324768, 'wall_s': 300.3}
{'opt_step': 1250, 'env_steps': 10240000, 'ce': 0.8046495318412781, 'accuracy': 0.6821847558021545, 'wall_s': 301.5}
{'opt_step': 1275, 'env_steps': 10444800, 'ce': 0.7903757095336914, 'accuracy': 0.6925708651542664, 'wall_s': 302.6}
{'opt_step': 1300, 'env_steps': 10649600, 'ce': 0.7843366861343384, 'accuracy': 0.6962365508079529, 'wall_s': 315.5}
{'opt_step': 1325, 'env_steps': 10854400, 'ce': 0.7879558801651001, 'accuracy': 0.6920821070671082, 'wall_s': 316.7}
{'opt_step': 1350, 'env_steps': 11059200, 'ce': 0.7983615398406982, 'accuracy': 0.6863391995429993, 'wall_s': 329.9}
{'opt_step': 1375, 'env_steps': 11264000, 'ce': 0.7865302562713623, 'accuracy': 0.6879276633262634, 'wall_s': 331.1}
{'opt_step': 1400, 'env_steps': 11468800, 'ce': 0.7991766929626465, 'accuracy': 0.6847507357597351, 'wall_s': 332.4}
{'opt_step': 1425, 'env_steps': 11673600, 'ce': 0.7936058044433594, 'accuracy': 0.6912267804145813, 'wall_s': 345.3}
{'opt_step': 1450, 'env_steps': 11878400, 'ce': 0.786348819732666, 'accuracy': 0.6914711594581604, 'wall_s': 346.5}
